date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,detect_language,sentiment
2025-09-09,account hear difference exist they enough.,plant reduce visit town student bed administration usually billion know ok allow face inside development lawyer high crime light buy trial include,2,anunez,12,27,website,de,united arab emirates,2.0.1,no,en,Negative
2024-02-09,two economic cup suffer response which.,describe half ahead catch base reality environment loss necessary family seat mention,4,silvakatie,45,16,google play,ja,georgia,4.2.4,yes,en,Positive
2024-06-07,air conference follow so group authority.,west maintain interest section staff performance parent current good today standard threat education important page theory wear,1,nathan51,76,21,website,pt,algeria,1.5.4,no,en,Negative
2025-01-05,spend cup anyone management another ever.,response degree focus discussion money bill teacher avoid instead series,5,martinezgeorge,134,17,app store,fr,greece,5.7.4,yes,en,Positive
2025-08-08,method finish want remain pretty summer black.,drive long majority exactly significant lot begin represent good structure drug reason avoid manager defense provide life maintain future sport,1,jefferycox,102,22,google play,fr,korea,2.7.5,yes,en,Negative
2025-03-07,because cell trade skill oil health.,raise current career feel beat note leave contain site street benefit money reason mean rate group government level leave tree ago,1,brian62,144,23,google play,en,iraq,5.8.3,yes,en,Negative
2024-09-03,argue business identify work star success.,feel financial writer accord machine reach boy check mind easy billion agency medium,1,lorraine79,130,14,app store,en,british virgin islands,4.2.8,no,en,Negative
2024-07-07,material anything music against.,cell accept similar future radio strategy list goal peace case attack heavy audience site fear,2,sandra46,196,23,flipkart,ja,romania,3.6.7,no,en,Negative
2025-06-01,price prevent baby voice day relate spend.,discussion open dinner section thousand soldier yard address spend baby camera congress analysis glass pretty factor paper,5,scottturner,97,19,flipkart,de,haiti,4.5.2,no,en,Positive
2025-08-09,design around voice everybody particular finish ask.,car address son week beat economic house environmental economy president sign activity fill produce structure summer kitchen admit grow point,2,jonathanbuchanan,189,25,google play,ja,eritrea,4.3.8,yes,en,Negative
2025-05-06,past much soldier reason any.,notice american force participant rich speech big mention rise pm institution wear present student item bring court end,2,blewis,144,23,flipkart,pt,falkland islands (malvinas),4.8.5,no,en,Negative
2025-05-02,play forget home upon actually future.,everybody provide paint travel question evening imagine affect price leg play well different remember determine particularly rock participant leave,2,lynn27,176,21,google play,ru,timor-leste,3.0.1,no,en,Negative
2025-08-05,writer heart mrs her we but how.,decision recently pull allow system place generation debate world fight later level choose person north share exist,2,victoriaduncan,19,24,amazon,pt,christmas island,5.9.6,no,en,Negative
2025-02-03,positive move agency lose rise fall huge state.,officer learn raise kitchen drop computer leave political study training reveal attorney security radio image mind like history situation mr,1,coxjennifer,21,24,amazon,fr,madagascar,4.2.6,no,en,Negative
2025-02-07,challenge eye determine he.,investment buy certainly energy stay send bear college include fund tree decide good politic available tonight man employee far know skin record organization,3,jennifer42,27,25,google play,en,mongolia,3.7.5,no,en,Neutral
2025-07-03,assume it fight understand.,crime south pass lead senior manage computer medical exist population mother game question personal bear series consider accord throw meeting,5,rpeterson,133,26,flipkart,ja,martinique,2.2.4,no,en,Positive
2025-06-05,foreign national produce news stage.,reach train main exactly parent heart big policy everybody hard book care seek foot simple include charge character federal customer,4,taylorkayla,27,21,flipkart,hi,trinidad and tobago,1.6.5,no,en,Positive
2024-01-09,light total campaign prevent half party respond.,trial help modern citizen address today begin write key tax speak a.,1,kvasquez,114,20,website,ar,congo,5.6.8,no,en,Negative
2024-04-06,parent not parent that property among blue.,tend exactly right edge meet information work bar big south drug manager opportunity program billion sit remain,4,johnstondavid,24,18,app store,ar,serbia,3.1.4,yes,en,Positive
2024-03-07,recent catch gas benefit great religious.,simple audience include claim create woman similar writer ahead rock forward idea red rate source,5,victor24,29,19,amazon,zh,iran,4.9.2,no,en,Positive
